,0
748,3897
749,1394
750,3200
751,1157
752,3291
753,3834
754,268
755,741
756,670
757,986
758,1978
759,3395
760,1824
761,799
762,1064
763,4235
764,1472
765,1023
766,193
767,4276
768,846
769,3793
770,1473
771,2799
772,3167
773,4110
774,2767
775,696
776,3735
777,3173
778,684
779,3752
780,4007
781,1957
782,553
783,2568
784,4346
785,3675
786,1319
787,1
788,4021
789,3696
790,2430
791,3413
792,4107
793,2610
794,2796
795,1880
796,3502
797,2533
798,942
799,2937
800,2878
801,760
802,460
803,3366
804,4201
805,4091
806,68
807,1632
808,766
809,1989
810,3830
811,2287
812,908
813,1726
814,4029
815,496
816,1334
817,2101
818,905
819,89
820,642
821,1976
822,4103
823,2680
824,1414
825,2732
826,3902
827,624
828,3187
829,4106
830,1046
831,1034
832,789
833,3025
834,505
835,1232
836,3141
837,345
838,3640
839,705
840,3581
841,884
842,2576
843,3929
844,4101
845,1521
846,284
847,3604
848,3726
849,1278
850,1815
851,3520
852,675
853,510
854,3889
855,1188
856,1585
857,71
858,1879
859,1310
860,1178
861,1426
862,835
863,2055
864,122
865,2996
866,960
867,2548
868,3343
869,1205
870,4320
871,585
872,1675
873,3212
874,2247
875,108
876,181
877,1401
878,933
879,4010
880,2038
881,2356
882,1515
883,4069
884,94
885,1254
886,221
887,2290
888,3738
889,2079
890,1496
891,3100
892,2997
893,561
894,1988
895,259
896,2261
897,2303
898,2905
899,3542
900,1999
901,3457
902,2177
903,4302
904,2407
905,3427
906,3289
907,824
908,361
909,869
910,1694
911,1557
912,1813
913,2219
914,1784
915,486
916,3344
917,2643
918,2455
919,3228
920,2725
921,436
922,1804
923,2747
924,243
925,82
926,2772
927,1464
928,1193
929,3161
930,262
931,4352
932,1222
933,4266
934,1066
935,1835
936,1666
937,3688
938,437
939,2726
940,1624
941,1969
942,4036
943,2377
944,1432
945,1269
946,333
947,3985
948,4351
949,584
950,3463
951,4289
952,1639
953,1163
954,1180
955,328
956,1908
957,749
958,504
959,2805
960,2332
961,4321
962,4137
963,1619
964,2437
965,1525
966,3508
967,1743
968,224
969,3260
970,676
971,126
972,2731
973,1031
974,2818
975,531
976,1691
977,1864
978,2709
979,1646
980,2795
981,4022
982,2173
983,358
984,653
985,1556
986,3068
987,1754
988,4334
989,1297
990,1343
991,2638
992,2028
993,209
994,3242
995,3464
996,154
997,484
998,3833
999,521
1000,2300
1001,2269
1002,2986
1003,1179
1004,186
1005,2721
1006,1839
1007,2923
1008,1397
1009,1430
1010,3896
1011,3168
1012,2840
1013,3077
1014,1857
1015,2917
1016,1499
1017,1548
1018,3955
1019,1565
1020,428
1021,3589
1022,179
1023,2569
1024,3067
1025,597
1026,3768
1027,2398
1028,2179
1029,2379
1030,3776
1031,3085
1032,2753
1033,2081
1034,214
1035,2596
1036,602
1037,335
1038,3847
1039,1538
1040,2251
1041,3621
1042,514
1043,1486
1044,729
1045,3531
1046,4362
1047,2474
1048,1862
1049,3991
1050,1344
1051,2863
1052,1415
1053,1398
1054,2503
1055,1511
1056,568
1057,1227
1058,1507
1059,1680
1060,3715
1061,2194
1062,1140
1063,3827
1064,1479
1065,50
1066,2899
1067,3934
1068,3599
1069,4303
1070,3199
1071,1535
1072,1737
1073,3364
1074,4347
1075,896
1076,1672
1077,2331
1078,523
1079,2942
1080,3226
1081,4298
1082,3526
1083,3434
1084,2684
1085,3120
1086,3411
1087,153
1088,1086
1089,906
1090,1327
1091,1127
1092,4018
1093,1731
1094,3202
1095,4349
1096,4224
1097,2384
1098,1124
1099,1317
1100,260
1101,37
1102,556
1103,35
1104,3914
1105,166
1106,1906
1107,656
1108,3031
1109,542
1110,4275
1111,2953
1112,1706
1113,1537
1114,2885
1115,2769
1116,115
1117,4226
1118,3275
1119,886
1120,1293
1121,2181
1122,4154
1123,910
1124,106
1125,689
1126,83
1127,3081
1128,107
1129,1035
1130,4254
1131,2210
1132,317
1133,1151
1134,3106
1135,3099
1136,1428
1137,4136
1138,4179
1139,526
1140,1563
1141,2831
1142,1167
1143,379
1144,25
1145,2770
1146,326
1147,4257
1148,3450
1149,3763
1150,2884
1151,406
1152,1670
1153,4142
1154,1506
1155,2242
1156,2067
1157,220
1158,257
1159,59
1160,686
1161,2813
1162,3547
1163,2717
1164,1298
1165,3405
1166,2111
1167,3469
1168,2319
1169,1889
1170,3247
1171,946
1172,1571
1173,389
1174,1785
1175,3443
1176,3145
1177,1100
1178,889
1179,2950
1180,2707
1181,3748
1182,2265
1183,3125
1184,2599
1185,857
1186,78
1187,2588
1188,1123
1189,1597
1190,3181
1191,490
1192,404
1193,425
1194,4181
1195,4319
1196,1416
1197,91
1198,3018
1199,994
1200,1907
1201,923
1202,4366
1203,103
1204,2172
1205,3284
1206,3402
1207,2323
1208,1852
1209,1299
1210,4212
1211,1488
1212,1534
1213,1011
1214,3633
1215,1665
1216,296
1217,1722
1218,1284
1219,3988
1220,2128
1221,3249
1222,3976
1223,2024
1224,3849
1225,2276
1226,2349
1227,3184
1228,2546
1229,2755
1230,465
1231,218
1232,3182
1233,594
1234,2195
1235,604
1236,4096
1237,685
1238,2897
1239,2957
1240,1042
1241,4220
1242,2541
1243,386
1244,1958
1245,3479
1246,3507
1247,3076
1248,1718
1249,4283
1250,1139
1251,1276
1252,2984
1253,3055
1254,1166
1255,2956
1256,27
1257,2627
1258,3861
1259,996
1260,2939
1261,2285
1262,3882
1263,3149
1264,1091
1265,2762
1266,2614
1267,4132
1268,352
1269,958
1270,615
1271,2153
1272,2940
1273,2403
1274,3112
1275,816
1276,8
1277,2008
1278,322
1279,1865
1280,1793
1281,2340
1282,281
1283,2763
1284,1845
1285,2839
1286,2364
1287,3867
1288,3974
1289,2159
1290,236
1291,2477
1292,694
1293,2858
1294,507
1295,269
1296,2514
1297,1487
1298,3214
1299,772
1300,3015
1301,1070
1302,2625
1303,2204
1304,3643
1305,4090
1306,4059
1307,1055
1308,1065
1309,1020
1310,1077
1311,3668
1312,930
1313,2928
1314,3669
1315,3750
1316,3171
1317,3310
1318,3408
1319,3518
1320,629
1321,2147
1322,525
1323,3943
1324,4150
1325,549
1326,4133
1327,355
1328,2595
1329,96
1330,3652
1331,3869
1332,3614
1333,1019
1334,1683
1335,88
1336,475
1337,1734
1338,2461
1339,3488
1340,3267
1341,3759
1342,2807
1343,3953
1344,828
1345,803
1346,1242
1347,3017
1348,99
1349,176
1350,1925
1351,3165
1352,1750
1353,1462
1354,601
1355,2409
1356,2962
1357,2235
1358,4049
1359,4173
1360,2488
1361,2730
1362,1846
1363,2400
1364,4016
1365,113
1366,3565
1367,366
1368,1581
1369,1751
1370,984
1371,1332
1372,1778
1373,1729
1374,3178
1375,2241
1376,3028
1377,3265
1378,3121
1379,2382
1380,1884
1381,667
1382,3529
1383,4300
1384,3576
1385,2499
1386,1660
1387,1746
1388,3840
1389,1792
1390,454
1391,3543
1392,3857
1393,1173
1394,518
1395,291
1396,620
1397,3204
1398,3370
1399,1328
1400,4295
1401,4071
1402,2821
1403,3637
1404,174
1405,3503
1406,1856
1407,1529
1408,723
1409,382
1410,2887
1411,3271
1412,959
1413,1130
1414,4225
1415,3624
1416,554
1417,1478
1418,2073
1419,1357
1420,1606
1421,3946
1422,2082
1423,1201
1424,1435
1425,1347
1426,1072
1427,4202
1428,894
1429,2836
1430,1250
1431,3094
1432,1709
1433,2877
1434,3133
1435,1351
1436,245
1437,1657
1438,614
1439,605
1440,1762
1441,87
1442,3731
1443,3770
1444,1893
1445,2093
1446,1899
1447,4115
1448,3323
1449,2875
1450,1175
1451,3956
1452,1468
1453,4164
1454,2065
1455,748
1456,3195
1457,3266
1458,2501
1459,1041
1460,1872
1461,2777
1462,636
1463,36
1464,2552
1465,2392
1466,903
1467,711
1468,2892
1469,2328
1470,307
1471,819
1472,2505
1473,3038
1474,2973
1475,3677
1476,2776
1477,978
1478,786
1479,1225
1480,206
1481,3850
1482,1009
1483,1246
1484,2787
1485,1101
1486,3454
1487,3924
1488,3183
1489,1677
1490,616
1491,479
1492,3285
1493,546
1494,2781
1495,2027
1496,1543
1497,3321
1498,795
1499,2460
1500,672
1501,1048
1502,3185
1503,1152
1504,1774
1505,362
1506,3176
1507,1532
1508,2446
1509,2989
1510,3798
1511,635
1512,2318
1513,1311
1514,2935
1515,198
1516,4169
1517,1259
1518,2206
1519,722
1520,4223
1521,4258
1522,926
1523,320
1524,1191
1525,3895
1526,1604
1527,1092
1528,3196
1529,2665
1530,3340
1531,1985
1532,3318
1533,3986
1534,621
1535,1492
1536,895
1537,4051
1538,111
1539,1888
1540,2462
1541,3049
1542,64
1543,3511
1544,2906
1545,4198
1546,4286
1547,2936
1548,4309
1549,649
1550,3936
1551,2001
1552,2200
1553,1611
1554,3406
1555,1281
1556,3964
1557,3651
1558,1939
1559,1637
1560,1434
1561,1968
1562,2791
1563,2754
1564,4233
1565,2036
1566,1085
1567,885
1568,1001
1569,3188
1570,1553
1571,232
1572,2334
1573,313
1574,2158
1575,970
1576,4153
1577,1253
1578,3336
1579,2618
1580,3984
1581,1279
1582,2408
1583,272
1584,3670
1585,3010
1586,838
1587,3825
1588,216
1589,2513
1590,2577
1591,560
1592,4012
1593,2274
1594,2779
1595,691
1596,3122
1597,3451
1598,747
1599,924
1600,2017
1601,2811
1602,3873
1603,1422
1604,2841
1605,3965
1606,1013
1607,2459
1608,2412
1609,2302
1610,2835
1611,2674
1612,2072
1613,1921
1614,4084
1615,498
1616,1113
1617,3758
1618,1936
1619,1008
1620,3098
1621,418
1622,1228
1623,1381
1624,502
1625,2228
1626,2727
1627,4272
1628,2979
1629,2358
1630,3586
1631,208
1632,1955
1633,288
1634,3160
1635,2418
1636,3201
1637,4193
1638,3220
1639,2443
1640,318
1641,3237
1642,3931
1643,3153
1644,1940
1645,1119
1646,1756
1647,1280
1648,2555
1649,2005
1650,4023
1651,3142
1652,4017
1653,3079
1654,46
1655,4158
1656,1028
1657,818
1658,4014
1659,3799
1660,3216
1661,476
1662,1177
1663,907
1664,2587
1665,4008
1666,2698
1667,342
1668,2263
1669,2034
1670,2800
1671,4175
1672,2534
1673,935
1674,453
1675,2711
1676,851
1677,2621
1678,429
1679,2954
1680,3989
1681,1512
1682,3679
1683,3011
1684,15
1685,2169
1686,1283
1687,283
1688,2291
1689,3
1690,1942
1691,758
1692,3279
1693,3209
1694,2487
1695,1461
1696,3430
1697,301
1698,1335
1699,998
1700,3689
1701,2223
1702,2697
1703,1366
1704,3662
1705,660
1706,38
1707,664
1708,1732
1709,2086
1710,2735
1711,275
1712,1938
1713,2308
1714,610
1715,1714
1716,3575
1717,3682
1718,1829
1719,2207
1720,4237
1721,842
1722,3777
1723,2345
1724,1612
1725,1235
1726,1822
1727,3908
1728,3666
1729,1376
1730,2280
1731,2581
1732,4344
1733,2750
1734,640
1735,4105
1736,385
1737,3277
1738,2423
1739,695
1740,2977
1741,3950
1742,2350
1743,2530
1744,2127
1745,968
1746,537
1747,2250
1748,4196
1749,1997
1750,3124
1751,4213
1752,582
1753,4361
1754,1887
1755,2682
1756,1261
1757,900
1758,3716
1759,513
1760,3393
1761,1241
1762,1443
1763,1838
1764,2434
1765,3785
1766,511
1767,1653
1768,1916
1769,2656
1770,1194
1771,1797
1772,1431
1773,3913
1774,3973
1775,618
1776,3764
1777,2544
1778,666
1779,294
1780,3009
1781,3855
1782,44
1783,1943
1784,1990
1785,1930
1786,3420
1787,2894
1788,3223
1789,2039
1790,1102
1791,9
1792,746
1793,2139
1794,2752
1795,2724
1796,1445
1797,792
1798,2558
1799,2227
1800,2913
1801,4216
1802,2451
1803,4365
1804,1132
1805,2272
1806,1339
1807,2402
1808,2898
1809,1688
1810,363
1811,3639
1812,2142
1813,3773
1814,3109
1815,3367
1816,4294
1817,230
1818,422
1819,853
1820,3392
1821,1730
1822,2890
1823,1692
1824,777
1825,866
1826,2733
1827,1474
1828,3858
1829,1562
1830,2860
1831,2949
1832,3911
1833,4140
1834,3864
1835,190
1836,2867
1837,1860
1838,2229
1839,1593
1840,4287
1841,2231
1842,2938
1843,557
1844,2012
1845,1162
1846,671
1847,2120
1848,3782
1849,1494
1850,2761
1851,1315
1852,1068
1853,2238
1854,3598
1855,252
1856,4024
1857,378
1858,4261
1859,258
1860,2673
1861,2253
1862,3296
1863,3101
1864,2197
1865,2387
1866,400
1867,1513
1868,449
1869,1418
1870,3180
1871,3755
1872,2945
1873,302
1874,1814
1875,421
1876,508
1877,4005
1878,3550
1879,938
1880,1901
1881,4268
1882,2112
1883,4122
1884,3694
1885,4123
1886,3641
1887,550
1888,4060
1889,3972
1890,1181
1891,69
1892,2321
1893,3719
1894,1527
1895,2170
1896,1795
1897,1629
1898,1650
1899,1126
1900,212
1901,2176
1902,3102
1903,2715
1904,3069
1905,1724
1906,2051
1907,3540
1908,2145
1909,185
1910,3977
1911,2355
1912,622
1913,3466
1914,768
1915,3628
1916,1012
1917,3177
1918,4162
1919,1079
1920,2672
1921,202
1922,1202
1923,4144
1924,2607
1925,4043
1926,3461
1927,1505
1928,2045
1929,2925
1930,1833
1931,3742
1932,2283
1933,784
1934,3002
1935,142
1936,2907
1937,4152
1938,3852
1939,1137
1940,4161
1941,1365
1942,2450
1943,3983
1944,626
1945,4318
1946,544
1947,3471
1948,669
1949,405
1950,1237
1951,2870
1952,836
1953,248
1954,2978
1955,3136
1956,2943
1957,462
1958,708
1959,3958
1960,3579
1961,2089
1962,261
1963,956
1964,2068
1965,276
1966,2425
1967,4359
1968,471
1969,3982
1970,1248
1971,2613
1972,1902
1973,3126
1974,3455
1975,1257
1976,515
1977,3686
1978,3431
1979,2023
1980,725
1981,3888
1982,3883
1983,1350
1984,31
1985,1948
1986,228
1987,2792
1988,3170
1989,2415
1990,3396
1991,3492
1992,3295
1993,2785
1994,1436
1995,1517
1996,3680
1997,410
1998,1484
1999,4273
2000,2113
2001,4364
2002,2570
2003,2174
2004,2405
2005,3819
2006,3809
2007,2888
2008,3154
2009,4079
2010,1361
2011,305
2012,2124
2013,1118
2014,941
2015,3382
2016,1169
2017,3419
2018,169
2019,1567
2020,4045
2021,4297
2022,2609
2023,1896
2024,2375
2025,3644
2026,371
2027,3059
2028,4102
2029,1108
2030,4134
2031,2620
2032,493
2033,578
2034,1316
2035,3309
2036,1984
2037,2532
2038,545
2039,4340
2040,3562
2041,2521
2042,1886
2043,3835
2044,3519
2045,3854
2046,127
2047,143
2048,3566
2049,4009
2050,3560
2051,3638
2052,2059
2053,3299
2054,821
2055,2988
2056,2830
2057,4121
2058,4067
2059,0
2060,2416
2061,2790
2062,1087
2063,441
2064,1596
2065,4099
2066,2106
2067,2944
2068,4113
2069,3963
2070,223
2071,3616
2072,761
2073,2136
2074,2746
2075,1125
2076,734
2077,1799
2078,4070
2079,2401
2080,969
2081,1480
2082,1340
2083,409
2084,832
2085,2322
2086,4066
2087,2062
2088,1757
2089,3156
2090,1898
2091,3131
2092,1174
2093,2866
2094,2339
2095,2723
2096,3904
2097,1690
2098,1322
2099,999
2100,4228
2101,1891
2102,804
2103,2453
2104,864
2105,1533
2106,2031
2107,2739
2108,583
2109,4238
2110,2994
2111,2084
2112,1078
2113,2427
2114,2814
2115,4322
2116,1934
2117,1063
2118,736
2119,2801
2120,2378
2121,1636
2122,1705
2123,3544
2124,2714
2125,1927
2126,2186
2127,431
2128,3475
2129,2057
2130,3252
2131,2578
2132,3139
2133,2745
2134,2572
2135,4221
2136,662
2137,1519
2138,2699
2139,1187
2140,1615
2141,929
2142,2951
2143,763
2144,3500
2145,778
2146,893
2147,279
2148,1587
2149,2026
2150,516
2151,3104
2152,3494
2153,491
2154,3481
2155,574
2156,2963
2157,1786
2158,3804
2159,2591
2160,1523
2161,805
2162,3333
2163,735
2164,1470
2165,1540
2166,3920
2167,3245
2168,3163
2169,3744
2170,3736
2171,1229
2172,2344
2173,327
2174,1613
2175,3922
2176,971
2177,3312
2178,1697
2179,1605
2180,785
2181,3110
2182,1342
2183,2734
2184,2812
2185,1400
2186,4019
2187,3327
2188,1586
2189,1622
2190,3952
2191,2871
2192,3342
2193,2865
2194,1197
2195,1910
2196,4143
2197,2869
2198,1147
2199,413
2200,2864
2201,3229
2202,1861
2203,3813
2204,600
2205,738
2206,4343
2207,12
2208,1393
2209,349
2210,1572
2211,750
2212,1995
2213,2041
2214,1199
2215,1702
2216,171
2217,564
2218,4207
2219,2069
2220,1003
2221,3162
2222,586
2223,117
2224,1779
2225,219
2226,3005
2227,2491
2228,1301
2229,2590
2230,661
2231,316
2232,1379
2233,3190
2234,4097
2235,1704
2236,233
2237,3403
2238,2713
2239,756
2240,528
2241,1164
2242,2592
2243,882
2244,1346
2245,1871
2246,874
2247,4360
2248,2741
2249,1153
2250,2600
2251,860
2252,1052
2253,1894
2254,1057
2255,2085
2256,3786
2257,3297
2258,1450
2259,4187
2260,1682
2261,873
2262,2424
2263,1209
2264,2598
2265,2970
2266,369
2267,365
2268,3012
2269,3293
2270,793
2271,1863
2272,2802
2273,4323
2274,2399
2275,157
2276,3917
2277,2601
2278,898
2279,4260
2280,2090
2281,1429
2282,4209
2283,2999
2284,3082
2285,497
2286,4148
2287,3378
2288,4068
2289,1417
2290,3325
2291,2486
2292,3942
2293,572
2294,3730
2295,2239
2296,1084
2297,3970
2298,4040
2299,2880
2300,2693
2301,1117
2302,3672
2303,3179
2304,920
2305,2579
2306,1356
2307,742
2308,241
2309,2217
2310,3417
2311,146
2312,3756
2313,3108
2314,3224
2315,3135
2316,3921
2317,3932
2318,2126
2319,2214
2320,3278
2321,2222
2322,403
2323,4000
2324,3442
2325,1842
2326,3380
2327,1501
2328,3460
2329,144
2330,1986
2331,912
2332,2908
2333,1005
2334,1620
2335,2891
2336,892
2337,2525
2338,1826
2339,737
2340,2751
2341,1668
2342,1570
2343,2664
2344,989
2345,2479
2346,1614
2347,338
2348,1648
2349,702
2350,839
2351,2040
2352,563
2353,2538
2354,881
2355,1699
2356,3881
2357,4284
2358,1192
2359,4350
2360,852
2361,2844
2362,67
2363,1200
2364,2309
2365,455
2366,1662
2367,380
2368,1979
2369,2388
2370,4363
2371,3851
2372,3722
2373,2803
2374,2053
2375,211
2376,2297
2377,2363
2378,1324
2379,3035
2380,3060
2381,2765
2382,2687
2383,1549
2384,1483
2385,876
2386,3375
2387,3073
2388,2778
2389,534
2390,1504
2391,732
2392,3472
2393,740
2394,2050
2395,1275
2396,3465
2397,1820
2398,4357
2399,3362
2400,1772
2401,2445
2402,1490
2403,1158
2404,1745
2405,1550
2406,2165
2407,1922
2408,3999
2409,1300
2410,3041
2411,2442
2412,2130
2413,3022
2414,1790
2415,3418
2416,3383
2417,2679
2418,1598
2419,3276
2420,2218
2421,402
2422,4025
2423,3379
2424,396
2425,4199
2426,1782
2427,359
2428,1796
2429,3414
2430,4278
2431,533
2432,966
2433,2993
2434,1723
2435,199
2436,4124
2437,4329
2438,197
2439,3322
2440,3095
2441,3884
2442,392
2443,596
2444,3452
2445,843
2446,1489
2447,3174
2448,2902
2449,891
2450,634
2451,4027
2452,2553
2453,787
2454,456
2455,420
2456,2088
2457,4098
2458,1469
2459,3878
2460,1030
2461,1459
2462,2485
2463,2006
2464,3778
2465,2481
2466,4100
2467,4248
2468,2167
2469,2848
2470,308
2471,2058
2472,1029
2473,1385
2474,646
2475,381
2476,720
2477,3441
2478,2882
2479,3671
2480,991
2481,2946
2482,2932
2483,2116
2484,192
2485,6
2486,2215
2487,1628
2488,2393
2489,950
2490,2097
2491,3698
2492,1770
2493,287
2494,2230
2495,3927
2496,3084
2497,3175
2498,718
2499,3034
2500,2540
2501,1155
2502,3626
2503,3372
2504,2886
2505,1836
2506,2155
2507,503
2508,443
2509,2636
2510,1630
2511,3535
2512,1207
2513,435
2514,3800
2515,2657
2516,3497
2517,880
2518,1510
2519,250
2520,3064
2521,4215
2522,3757
2523,4170
2524,2633
2525,247
2526,3132
2527,4305
2528,3966
2529,175
2530,4147
2531,1794
2532,3280
2533,3836
2534,2629
2535,3790
2536,2671
2537,1555
2538,1858
2539,1647
2540,4032
2541,1566
2542,3765
2543,3390
2544,3435
2545,2783
2546,3877
2547,949
2548,417
2549,4317
2550,2029
2551,2411
2552,2990
2553,330
2554,928
2555,2550
2556,3088
2557,2095
2558,3692
2559,3218
2560,2110
2561,3709
2562,3510
2563,4093
2564,2091
2565,3302
2566,1223
2567,2948
2568,1176
2569,1456
2570,3899
2571,833
2572,3075
2573,73
2574,3477
2575,1560
2576,148
2577,4138
2578,1170
2579,2720
2580,3446
2581,1457
2582,2002
2583,251
2584,18
2585,3940
2586,3886
2587,1923
2588,1830
2589,163
2590,1067
2591,3609
2592,3134
2593,519
2594,3771
2595,1210
2596,3030
