,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,Salary,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,MeanHrsWorked,MaxHrsWorked,SumHrsWorked,StdHrsWorked,SickDays,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,PaytoEffortRatio,SatisfactionRatio,DevelopmentRatio,FlightRatio,AgeGroup
10,11,45,0,Travel_Rarely,Research & Development,10.563307,2,Medical,Male,2,Laboratory Technician,Married,111339.18186803996,0.0,13,2,21.0,2,20,4,10,8.133493975903612,9.50388888888889,2025.24,1.5155282051866668,8,3.0,4.0,3.0,2,3,54.97579638365822,4.426142086863781,1.2,0.0,42-47
11,12,36,0,Travel_Rarely,Research & Development,17.398388,1,Life Sciences,Male,1,Laboratory Technician,Married,47051.98562988,0.0,12,2,16.0,2,15,10,11,6.841839580544167,7.836944444444445,1703.6180555555557,1.2856867715630556,8,3.0,4.0,3.0,3,3,27.61885827427216,2.384698591352481,0.4545454545454545,0.0833333333333333,36-41
12,13,55,0,Travel_Rarely,Research & Development,8.699194,4,Life Sciences,Female,1,Sales Executive,Single,77161.35517271998,0.0,17,0,37.0,2,36,4,13,8.55430834448889,9.955833333333333,2130.022777777778,2.5482182809275,20,4.0,1.0,3.0,3,3,36.22560095494439,1.402801900136204,0.6,0.0,54-59
13,14,47,1,Non-Travel,Research & Development,0.621371,1,Medical,Male,1,Research Scientist,Married,80282.36339928,1.0,11,2,10.0,4,10,9,9,8.8714212405175,10.4675,2208.983888888889,2.1881819081097222,14,1.0,2.0,2.0,2,3,36.343571269621954,0.450886040866961,0.7,0.1,42-47
14,15,28,0,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,Male,1,Manufacturing Director,Married,36114.52376448,1.0,14,0,5.0,2,5,0,4,5.894035029004722,7.136388888888889,1467.6147222222223,1.113140737853889,8,4.0,4.0,2.0,3,3,24.60763251938245,5.429217818103735,3.0,0.05,24-29
15,16,37,0,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,Male,2,Healthcare Representative,Married,74486.20526424001,4.0,11,0,7.0,2,5,0,1,6.382033690316668,7.608888888888889,1589.1263888888889,1.471868016992778,12,3.0,4.0,4.0,3,3,46.872423606482606,7.521113539846937,4.0,0.1904761904761904,36-41
16,17,21,0,Travel_Rarely,Research & Development,1.864113,2,Life Sciences,Male,1,Laboratory Technician,Single,58700.03418971999,1.0,12,3,3.0,3,3,1,0,6.034225792056945,7.633888888888888,1502.522222222222,1.9060331461711115,22,4.0,3.0,4.0,2,3,39.067664571977495,7.954624446301632,3.5,0.0833333333333333,18-23
17,18,37,0,Non-Travel,Research & Development,0.621371,3,Medical,Male,2,Sales Executive,Divorced,57501.78995988,2.0,13,1,15.0,2,5,0,2,10.881625390450557,11.696388888888889,2709.5247222222224,1.242817735642778,3,1.0,4.0,3.0,3,3,21.222094594036324,1.1027764299376543,5.0,0.1333333333333333,36-41
18,19,35,0,Travel_Rarely,Sales,4.349597,4,Life Sciences,Male,1,Sales Representative,Divorced,33968.83060872,7.0,16,0,10.0,5,7,6,2,6.4850557786700005,7.978333333333333,1614.7788888888888,1.785078032566111,17,2.0,2.0,2.0,2,3,21.03621173304636,1.2336054265427914,0.8571428571428571,0.35,30-35
19,20,38,0,Travel_Rarely,Research & Development,4.970968,3,Life Sciences,Female,1,Manager,Divorced,95720.2076628,1.0,11,1,8.0,5,8,7,7,8.621732485497501,10.172777777777778,2146.8113888888893,2.428395970889167,18,1.0,1.0,3.0,3,3,44.58715290882692,0.3479579081172211,0.875,0.125,36-41
20,21,26,0,Travel_Frequently,Research & Development,0.621371,4,Other,Male,2,Laboratory Technician,Divorced,145558.80778067998,1.0,18,0,6.0,3,6,1,4,7.072532351628611,8.41638888888889,1761.0605555555555,1.9427324236033328,17,3.0,2.0,1.0,3,3,82.65406167975925,0.8483524290445081,2.5,0.0555555555555555,24-29
21,22,50,0,Travel_Rarely,Sales,4.970968,4,Life Sciences,Male,1,Research Scientist,Divorced,134691.01127748,3.0,23,0,28.0,2,10,1,6,5.622517849174445,6.816944444444444,1400.0069444444443,1.5032958602358333,16,1.0,2.0,2.0,2,4,96.2073879790136,0.7114250425345151,1.5,0.1071428571428571,48-53
22,23,53,0,Travel_Rarely,Research & Development,6.835081,4,Life Sciences,Female,2,Research Scientist,Married,29928.23960112,3.0,11,0,21.0,2,5,1,3,7.828470548861945,9.423333333333334,1949.2891666666667,2.1434375578708336,17,3.0,3.0,2.0,3,3,15.353411958010332,2.299299701985432,2.0,0.0476190476190476,48-53
23,25,29,0,Travel_Frequently,Research & Development,9.941936,4,Medical,Male,1,Laboratory Technician,Single,90746.10080172,1.0,11,1,10.0,2,10,0,9,6.580408299866112,8.049444444444445,1638.5216666666668,1.866526374251667,18,2.0,4.0,2.0,3,3,55.38291171109729,2.4314600661368604,4.0,0.05,24-29
24,26,55,0,Travel_Rarely,Research & Development,0.621371,4,Other,Female,1,Research Scientist,Married,94730.95951956,3.0,11,0,12.0,2,10,0,8,9.0612148594375,10.199444444444444,2256.2425000000003,1.6772092844227775,8,2.0,4.0,3.0,3,3,41.98616040587835,2.6486514636614484,3.0,0.125,54-59
25,27,26,0,Travel_Frequently,Research & Development,5.592339,3,Life Sciences,Female,1,Manager,Married,226983.68312004,1.0,22,0,5.0,3,5,3,3,10.536275100401388,11.963055555555556,2623.5325,2.179007105379722,10,1.0,1.0,3.0,3,4,86.51834239524001,0.2847306065390901,1.0,0.2,24-29
26,28,37,0,Travel_Rarely,Sales,3.106855,1,Marketing,Male,1,Research Scientist,Single,37688.9609502,1.0,11,0,17.0,2,17,5,7,7.207425256581667,8.349166666666667,1794.648888888889,1.7192892430008333,13,4.0,4.0,3.0,3,3,21.000743478872995,6.659798512120181,0.5,0.0147058823529411,36-41
27,29,44,1,Travel_Frequently,Research & Development,0.621371,2,Medical,Male,2,Research Scientist,Divorced,143970.43752252,3.0,14,1,19.0,2,1,0,0,10.713065595716111,11.830833333333333,2667.5533333333333,1.7146802946552775,6,4.0,3.0,1.0,2,3,53.97096872384432,1.1201275575871117,5.0,0.0394736842105263,42-47
28,30,38,0,Travel_Rarely,Sales,1.242742,3,Marketing,Female,1,Manager,Divorced,61974.30621312,9.0,12,0,10.0,3,2,1,2,6.310013386880834,7.616388888888889,1571.1933333333334,1.837299199663056,19,4.0,4.0,3.0,2,3,39.44409952506587,7.606956920217781,2.0,0.225,36-41
29,31,26,1,Travel_Rarely,Research & Development,2.485484,3,Medical,Male,3,Research Scientist,Divorced,95497.27850376,2.0,11,0,5.0,5,3,0,2,9.662807898259445,10.83361111111111,2406.0391666666665,2.103155663560833,11,1.0,2.0,3.0,2,3,39.690658334569925,0.6209375228375156,8.0,0.4,24-29
30,32,28,0,Travel_Rarely,Research & Development,4.349597,3,Other,Male,1,Human Resources,Single,134273.01910428,1.0,13,0,5.0,6,5,0,2,6.52104082998639,7.644722222222223,1623.7391666666667,1.149968802747778,7,4.0,4.0,3.0,2,3,82.69371205716847,7.360788139720968,7.0,0.05,24-29
31,33,49,0,Travel_Frequently,Research & Development,0.621371,1,Medical,Female,2,Research Scientist,Single,50033.66313204,9.0,13,0,22.0,2,3,1,2,9.884587237840002,11.409444444444444,2461.262222222222,2.524342714188612,15,3.0,1.0,3.0,3,3,20.328456952004757,0.9105084292793086,2.0,0.1363636363636363,48-53
32,34,36,0,Travel_Rarely,Sales,3.106855,3,Technical Degree,Male,3,Sales Executive,Single,75308.25653819999,4.0,14,0,10.0,2,8,7,7,6.033902275769723,6.885555555555555,1502.4416666666666,0.988830647445278,6,3.0,2.0,3.0,3,3,50.12391376583672,2.983144104319092,0.625,0.1333333333333333,36-41
33,35,31,0,Travel_Frequently,Research & Development,5.592339,4,Medical,Male,1,Sales Executive,Divorced,65262.511308960005,1.0,16,1,2.0,4,2,2,2,6.348326639892778,7.480277777777777,1580.7333333333331,1.2661799420258333,9,4.0,2.0,2.0,3,3,41.28622452171567,2.5203492050103837,2.0,0.125,30-35
34,36,26,1,Travel_Rarely,Research & Development,4.970968,3,Medical,Male,2,Manager,Single,219961.41461028,1.0,12,2,8.0,5,8,7,4,9.57092369477889,11.14638888888889,2383.16,2.612495361949167,17,4.0,4.0,3.0,3,3,92.29821523115528,5.015189915910088,1.125,0.03125,24-29
35,37,37,0,Travel_Frequently,Sales,5.592339,1,Marketing,Male,1,Laboratory Technician,Married,21094.67167416,1.0,14,0,4.0,3,4,1,2,9.702093931280556,10.83361111111111,2415.821388888889,1.6772508802566668,7,2.0,4.0,2.0,3,3,8.731883810277088,1.6491285400169484,2.0,0.125,36-41
36,38,42,0,Travel_Frequently,Sales,1.242742,2,Marketing,Male,3,Research Director,Married,41186.16213264,5.0,13,0,23.0,2,20,4,8,5.5232954038375,6.575,1375.3005555555555,1.6161238297230556,19,3.0,2.0,4.0,3,3,29.94702646361017,4.345232011911796,1.0,0.072463768115942,42-47
37,39,18,1,Travel_Rarely,Research & Development,0.621371,4,Life Sciences,Male,1,Sales Executive,Single,32533.7241474,1.0,14,2,0.0,3,0,0,0,6.177288041053055,7.505277777777778,1538.1447222222223,1.9470216499566668,22,3.0,3.0,3.0,2,3,21.15127638990768,4.370850091587643,6.0,0.0833333333333333,18-23
38,40,35,0,Travel_Rarely,Sales,12.42742,2,Life Sciences,Male,1,Laboratory Technician,Married,71811.05535575999,0.0,19,0,12.0,2,11,6,9,7.381318607764167,8.585,1837.9483333333333,1.5422361777700002,10,3.0,2.0,2.0,2,3,39.07131340603154,1.6257257866335146,0.4285714285714285,0.0,30-35
39,41,36,0,Travel_Frequently,Research & Development,4.970968,3,Other,Female,3,Sales Executive,Married,97002.05032728,4.0,12,2,4.0,2,1,0,0,7.060059125390279,7.938611111111111,1757.9547222222222,1.0511205227077778,5,3.0,3.0,3.0,2,3,55.17892417880943,2.384698591352481,7.0,0.3333333333333333,36-41
40,42,51,0,Travel_Rarely,Research & Development,1.242742,3,Life Sciences,Male,2,Laboratory Technician,Divorced,79070.186097,5.0,13,0,13.0,2,4,1,2,7.167754350736112,8.278333333333334,1784.7708333333333,1.7779025066175,14,4.0,2.0,3.0,2,3,44.30271081319964,3.348329033839623,2.0,0.0961538461538461,48-53
41,43,41,0,Travel_Rarely,Research & Development,18.019759,1,Life Sciences,Male,1,Laboratory Technician,Single,33146.77933476,1.0,12,0,22.0,6,22,0,4,6.757186523873056,7.960833333333333,1682.5394444444444,1.1934140067791668,7,4.0,2.0,3.0,3,3,19.70044710940176,3.551774087515314,7.0,0.0113636363636363,36-41
42,44,18,0,Travel_Rarely,Sales,4.349597,3,Life Sciences,Male,1,Research Scientist,Single,53112.87214127999,1.0,15,0,0.0,3,0,0,0,6.755545515394723,7.976944444444444,1682.1308333333334,1.346810588265278,9,4.0,3.0,3.0,3,3,31.57475690284495,5.32895528835713,4.0,0.0833333333333333,18-23
43,45,28,0,Travel_Rarely,Research & Development,5.592339,3,Medical,Male,1,Sales Representative,Single,64760.92070111999,0.0,23,2,9.0,2,8,0,7,7.056963409192223,8.04111111111111,1757.183888888889,1.053760011335,5,2.0,1.0,3.0,2,4,36.85494791445529,0.8502240485170365,5.0,0.0,24-29
44,46,31,0,Travel_Rarely,Research & Development,4.970968,1,Technical Degree,Male,1,Manufacturing Director,Married,40907.50068384,4.0,12,1,10.0,2,8,7,7,6.913614457831112,8.036111111111111,1721.49,1.3752008810397225,9,2.0,4.0,2.0,3,3,23.76284537455344,2.314274262412284,0.5,0.2,30-35
45,47,39,0,Travel_Rarely,Sales,3.106855,4,Marketing,Female,2,Human Resources,Divorced,29329.117486200004,0.0,20,0,19.0,3,18,3,7,7.207423025435,8.457222222222223,1794.6483333333333,1.7885318563147223,14,3.0,4.0,2.0,3,4,16.342542960338566,3.329900286871464,1.25,0.0,36-41
46,48,36,0,Non-Travel,Research & Development,3.106855,4,Life Sciences,Male,1,Sales Executive,Married,119517.89539032,7.0,21,0,11.0,4,9,0,8,7.455297858098889,8.716666666666669,1856.3691666666664,1.7056018591919446,12,2.0,2.0,3.0,3,4,64.3826117867109,1.6095936377597684,5.0,0.3181818181818182,36-41
47,49,32,0,Travel_Rarely,Sales,1.242742,3,Marketing,Male,2,Laboratory Technician,Married,37702.89402264,1.0,21,1,13.0,4,13,4,8,6.358520749665279,7.882777777777778,1583.2716666666668,2.0057077273950004,22,4.0,3.0,2.0,3,4,23.81328158421328,3.7744627948667766,1.4,0.0192307692307692,30-35
48,50,38,0,Travel_Rarely,Research & Development,3.106855,2,Life Sciences,Female,3,Research Scientist,Married,88948.73445696,3.0,19,2,19.0,4,10,0,1,6.3239547077197225,7.661111111111111,1574.6647222222225,1.942971475585,21,1.0,2.0,3.0,2,3,56.487411702112944,0.9487733984994756,9.0,0.1578947368421052,36-41
49,51,58,0,Non-Travel,Research & Development,1.242742,3,Life Sciences,Male,2,Manufacturing Director,Divorced,55286.43144192,2.0,13,2,12.0,3,5,1,2,10.589165551093055,12.064444444444444,2636.702222222222,1.8293303176375,7,4.0,3.0,3.0,2,3,20.96802246987314,3.399701310391161,3.5,0.0416666666666666,54-59
50,52,31,0,Travel_Rarely,Research & Development,12.42742,1,Technical Degree,Female,3,Research Scientist,Married,138034.94866308,0.0,13,1,6.0,3,5,0,3,8.685874609549167,9.955833333333333,2162.782777777778,1.980614995870278,12,3.0,4.0,3.0,2,3,63.82284438426522,4.1446603385710805,7.0,0.0,30-35
51,53,31,0,Travel_Rarely,Sales,4.349597,4,Marketing,Male,2,Sales Executive,Married,184264.883019,3.0,21,1,9.0,2,2,1,0,6.557103971441112,7.644722222222223,1632.7188888888888,1.371484198399722,10,1.0,1.0,3.0,3,4,112.85769048975568,0.4575190530859714,2.5,0.3333333333333333,30-35
52,54,45,0,Travel_Frequently,Research & Development,1.864113,1,Medical,Female,1,Sales Executive,Divorced,49323.0764376,1.0,13,0,24.0,6,24,9,11,6.934087460954722,8.190000000000001,1726.5877777777778,1.6584788228327778,13,1.0,1.0,3.0,3,3,28.56679345957248,0.4326452495577469,0.7,0.0416666666666666,42-47
53,55,31,0,Travel_Rarely,Sales,9.941936,4,Marketing,Female,2,Research Scientist,Divorced,39068.33512176,0.0,19,2,3.0,0,2,2,2,8.43789045069139,9.470833333333331,2101.0347222222226,1.248993775116111,5,3.0,4.0,1.0,3,3,18.594806981789525,1.42215641102768,1.3333333333333333,0.0,30-35
54,56,33,0,Travel_Frequently,Research & Development,5.592339,3,Life Sciences,Male,4,Research Director,Married,270190.14075648,6.0,12,1,12.0,3,10,8,8,6.457864792503334,7.746111111111111,1608.0083333333334,1.4842264176683335,12,4.0,2.0,3.0,3,3,168.02782370933815,3.7163986505045137,0.8888888888888888,0.125,30-35
55,57,39,0,Travel_Rarely,Sales,0.621371,4,Life Sciences,Male,1,Sales Executive,Married,273993.8695326,1.0,22,1,21.0,6,21,11,10,10.809616242748612,11.811111111111112,2691.5944444444444,1.419021285880833,4,3.0,1.0,3.0,3,4,101.79611943327272,0.8325919993725446,0.6666666666666666,0.0158730158730158,36-41
56,58,43,0,Travel_Frequently,Research & Development,4.349597,4,Medical,Male,4,Research Scientist,Single,33982.763681159995,0.0,15,0,9.0,2,8,1,7,7.007448683623334,8.505555555555556,1744.8547222222223,2.204930548218056,22,3.0,4.0,3.0,3,3,19.475984589639666,5.137390457690161,3.0,0.0,42-47
57,59,49,0,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,Male,3,Manufacturing Director,Single,101906.49182616,7.0,22,0,25.0,2,7,0,7,9.709125390450556,10.881666666666666,2417.572222222222,1.559707032011389,6,3.0,3.0,3.0,3,4,42.15240847385647,2.780889000213752,5.0,0.0933333333333333,48-53
58,60,52,1,Travel_Rarely,Research & Development,4.349597,1,Life Sciences,Female,2,Research Scientist,Married,66516.48782856,2.0,18,1,11.0,2,8,7,7,7.5880365908075005,8.951666666666668,1889.421111111111,1.5850168135333336,10,3.0,2.0,2.0,3,3,35.20469176373481,1.5814367598776944,0.625,0.0606060606060606,48-53
59,61,27,0,Travel_Rarely,Research & Development,9.320565,4,Medical,Male,3,Research Scientist,Single,54366.84866088,1.0,22,0,4.0,2,4,1,2,10.45810910307889,11.535277777777775,2604.0691666666667,1.5295139838086111,5,3.0,2.0,2.0,3,4,20.87765154505177,1.1474349599649112,2.5,0.0833333333333333,24-29
60,62,32,0,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,Male,3,Research Scientist,Married,37089.83883528,1.0,11,1,13.0,6,13,11,9,10.074638554216667,11.326666666666666,2508.585,2.084580105608611,10,3.0,2.0,3.0,4,3,14.785163283396813,1.786664593784978,0.8333333333333334,0.0256410256410256,30-35
61,63,27,0,Travel_Rarely,Research & Development,8.077823,2,Medical,Female,4,Research Director,Single,39792.85488864,1.0,12,2,5.0,5,5,0,4,9.341363230700557,10.885,2325.9994444444446,2.6301465212919446,18,4.0,3.0,3.0,4,3,17.107852275581415,3.853827231734803,11.0,0.05,24-29
62,64,31,0,Travel_Rarely,Sales,14.912904,3,Life Sciences,Male,2,Healthcare Representative,Divorced,15061.65130764,4.0,11,3,13.0,4,7,1,7,6.447809013833056,7.464722222222222,1605.5044444444443,1.0561488515572222,6,4.0,4.0,3.0,4,3,9.381257934076796,7.444389233152122,4.5,0.0769230769230769,30-35
63,65,32,0,Travel_Rarely,Research & Development,4.349597,3,Technical Degree,Male,2,Healthcare Representative,Single,34442.555071680006,7.0,13,0,10.0,2,7,0,7,7.136569611780278,8.257777777777779,1777.0058333333334,1.632646596126389,12,1.0,4.0,2.0,3,3,19.382353409089355,1.1209867534668847,4.0,0.7,30-35
64,66,28,1,Travel_Rarely,Research & Development,5.592339,4,Medical,Male,1,Sales Executive,Married,79042.31995211999,5.0,14,1,5.0,4,3,2,2,10.641073181615278,11.38861111111111,2649.6272222222224,0.997217737145,2,1.0,4.0,2.0,2,3,29.83148696888304,0.7518038701041644,2.0,1.0,24-29
65,67,30,0,Travel_Rarely,Research & Development,8.077823,3,Life Sciences,Female,4,Research Director,Married,58477.10503068,1.0,13,0,11.0,3,10,1,9,5.762560240963611,6.918055555555555,1434.8775,1.5898679153130555,17,4.0,4.0,3.0,3,3,40.75407484658447,8.329630926682247,3.5,0.0227272727272727,30-35
66,68,31,0,Travel_Frequently,Research & Development,1.242742,1,Life Sciences,Female,1,Manager,Married,135331.93260972,1.0,17,0,10.0,5,10,8,9,6.025345827755277,7.3075,1500.3111111111111,1.8983155268352776,22,3.0,3.0,3.0,2,3,90.20257972327812,4.481070592766085,0.6666666666666666,0.0333333333333333,30-35
67,69,39,0,Travel_Frequently,Research & Development,11.806049,4,Medical,Female,1,Research Scientist,Married,28729.99537128,1.0,13,0,21.0,4,21,13,3,5.5637918340025,6.844444444444444,1385.3841666666667,1.7130976514080556,21,3.0,4.0,3.0,3,3,20.737926751686803,6.470407426099224,0.3571428571428571,0.0158730158730158,36-41
68,70,39,1,Travel_Rarely,Research & Development,0.621371,1,Medical,Female,1,Laboratory Technician,Married,59689.28233295999,4.0,17,1,12.0,0,1,0,0,9.851604194555833,10.715833333333334,2453.0494444444444,1.1264440886194445,3,4.0,3.0,2.0,3,3,24.33268618704021,2.436151465896571,2.0,0.0833333333333333,36-41
69,71,33,0,Travel_Frequently,Sales,2.485484,2,Life Sciences,Male,4,Research Scientist,Single,66711.55084272,3.0,11,1,9.0,0,7,0,1,7.212816822846667,8.068888888888889,1795.9913888888889,1.2623923349666668,7,2.0,4.0,2.0,3,3,37.14469415356823,2.2182734419817574,5.0,0.1666666666666666,30-35
70,72,47,0,Travel_Rarely,Research & Development,2.485484,3,Life Sciences,Female,2,Healthcare Representative,Married,82288.72583064,4.0,23,0,21.0,4,3,1,1,6.337332663989167,7.1925,1577.9958333333334,1.036711152792222,6,4.0,3.0,3.0,4,4,52.14761920937054,5.680623364552721,3.0,0.0476190476190476,42-47
71,73,43,0,Travel_Frequently,Research & Development,8.699194,3,Medical,Female,5,Research Director,Divorced,54143.91950183999,1.0,17,2,9.0,2,9,0,0,5.945283355644723,7.146388888888889,1480.3755555555556,1.4800789535822223,14,3.0,3.0,4.0,3,3,36.57444848953944,6.055220221895724,9.0,0.037037037037037,42-47
72,74,27,0,Non-Travel,Research & Development,1.242742,3,Life Sciences,Male,1,Research Director,Married,234396.07765812,0.0,17,0,6.0,3,5,1,4,8.643457161981113,10.124166666666667,2152.2208333333338,2.433865114255278,18,3.0,2.0,3.0,3,3,108.90893444939393,2.082500053239615,2.0,0.0,24-29
73,75,54,0,Travel_Frequently,Research & Development,0.621371,4,Life Sciences,Male,2,Research Scientist,Single,40865.70146652,3.0,12,2,20.0,2,4,0,3,5.681542838018611,6.885277777777778,1414.7041666666669,1.5659212601197223,17,4.0,3.0,2.0,3,3,28.886393656991885,4.224204707109062,6.0,0.0375,54-59
74,76,43,0,Travel_Rarely,Research & Development,4.349597,2,Life Sciences,Female,2,Manager,Married,90564.97086,8.0,23,0,10.0,3,1,0,0,6.898489513609722,7.853888888888889,1717.723888888889,1.512125398686389,11,3.0,1.0,2.0,3,4,52.72382333727804,0.8697556165248737,5.0,0.2666666666666666,42-47
75,77,45,0,Travel_Rarely,Sales,1.864113,1,Marketing,Female,1,Sales Executive,Married,239286.58608456003,9.0,14,1,12.0,6,10,9,8,6.900469656403334,7.894166666666667,1718.2169444444444,1.2130760938577778,7,4.0,4.0,3.0,3,3,139.26447813138589,6.956048267737559,0.8,0.1875,42-47
76,78,40,0,Travel_Rarely,Research & Development,1.242742,4,Other,Male,4,Research Scientist,Married,70125.15359052,2.0,14,2,6.0,6,4,0,2,9.197425256581669,10.701666666666666,2290.158888888889,2.5885773794722224,18,2.0,4.0,2.0,3,3,30.62021326587626,1.739617290018249,12.0,0.1666666666666666,36-41
77,79,29,1,Travel_Rarely,Research & Development,18.019759,3,Medical,Female,1,Research Scientist,Married,32143.59811908,1.0,13,1,7.0,0,7,0,7,9.67827867023639,11.379444444444443,2409.8913888888887,2.802310706008333,19,2.0,1.0,2.0,3,3,13.338193690919912,0.4132966342766302,2.0,0.0714285714285714,24-29
78,80,29,0,Travel_Rarely,Human Resources,4.970968,3,Medical,Male,3,Sales Representative,Single,36044.85840228,0.0,22,2,4.0,3,3,2,2,6.629551539491112,7.652222222222222,1650.7583333333334,1.3891109368858334,10,2.0,4.0,3.0,3,4,21.835333297694493,3.620154373495112,2.6666666666666665,0.0,24-29
79,81,30,0,Travel_Rarely,Research & Development,6.21371,3,Life Sciences,Male,2,Research Scientist,Divorced,76729.42992708,1.0,12,2,10.0,2,10,1,2,7.070961624274722,8.45638888888889,1760.6694444444445,1.9401532323833333,17,4.0,3.0,3.0,2,3,43.57969076432228,5.091245280756642,3.0,0.025,30-35
80,82,27,0,Travel_Rarely,Research & Development,6.835081,2,Medical,Male,1,Manager,Married,61207.98722891999,1.0,18,1,8.0,2,8,0,7,5.957641677822223,6.754166666666666,1483.4527777777778,0.9028559444075,5,2.0,2.0,3.0,2,3,41.26048914115754,2.0142198287404423,4.0,0.0625,24-29
81,83,37,0,Travel_Rarely,Sales,0.621371,4,Life Sciences,Male,2,Healthcare Representative,Divorced,185978.65092912,7.0,14,0,8.0,4,6,0,4,5.687801204819167,6.816944444444444,1416.2625,1.3664850524175003,13,4.0,4.0,2.0,3,3,131.31651154296608,5.626075674530783,6.0,0.21875,36-41
82,84,38,0,Travel_Rarely,Research & Development,17.398388,4,Medical,Male,1,Laboratory Technician,Divorced,91721.41587252,0.0,12,0,12.0,1,11,2,9,8.730585676037224,9.831666666666669,2173.915833333333,1.5176058267916668,7,3.0,4.0,3.0,3,3,42.19179715521952,4.123434708258913,0.6666666666666666,0.0,36-41
