EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,MeanHrsWorked,MaxHrsWorked,SumHrsWorked,StdHrsWorked,SickDays,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
32,28,No,Travel_Rarely,Research & Development,4.349597,3,Other,1,Male,1,Human Resources,Single,11189.418258689999,1.0,Y,13,8,0,5.0,6,5,0,2,6.52104082998639,7.644722222222223,1623.7391666666667,1.149968802747778,7,4.0,4.0,3.0,2,3
33,49,No,Travel_Frequently,Research & Development,0.621371,1,Medical,1,Female,2,Research Scientist,Single,4169.47192767,9.0,Y,13,8,0,22.0,2,3,1,2,9.884587237840002,11.409444444444444,2461.262222222222,2.5243427141886117,15,3.0,1.0,3.0,3,3
34,36,No,Travel_Rarely,Sales,3.106855,3,Technical Degree,1,Male,3,Sales Executive,Single,6275.68804485,4.0,Y,14,8,0,10.0,2,8,7,7,6.033902275769723,6.885555555555555,1502.4416666666666,0.9888306474452779,6,3.0,2.0,3.0,3,3
35,31,No,Travel_Frequently,Research & Development,5.592339,4,Medical,1,Male,1,Sales Executive,Divorced,5438.54260908,1.0,Y,16,8,1,2.0,4,2,2,2,6.348326639892778,7.480277777777777,1580.7333333333333,1.2661799420258333,9,4.0,2.0,2.0,3,3
36,26,Yes,Travel_Rarely,Research & Development,4.970968,3,Medical,1,Male,2,Manager,Single,18330.11788419,1.0,Y,12,8,2,8.0,5,8,7,4,9.57092369477889,11.14638888888889,2383.16,2.612495361949167,17,4.0,4.0,3.0,3,3
37,37,No,Travel_Frequently,Sales,5.592339,1,Marketing,1,Male,1,Laboratory Technician,Married,1757.88930618,1.0,Y,14,8,0,4.0,3,4,1,2,9.702093931280556,10.83361111111111,2415.821388888889,1.6772508802566668,7,2.0,4.0,2.0,3,3
38,42,No,Travel_Frequently,Sales,1.242742,2,Marketing,1,Male,3,Research Director,Married,3432.18017772,5.0,Y,13,8,0,23.0,2,20,4,8,5.5232954038375,6.575,1375.3005555555555,1.6161238297230556,19,3.0,2.0,4.0,3,3
39,18,Yes,Travel_Rarely,Research & Development,0.621371,4,Life Sciences,1,Male,1,Sales Executive,Single,2711.14367895,1.0,Y,14,8,2,0.0,3,0,0,0,6.177288041053055,7.505277777777778,1538.1447222222223,1.9470216499566668,22,3.0,3.0,3.0,2,3
40,35,No,Travel_Rarely,Sales,12.42742,2,Life Sciences,1,Male,1,Laboratory Technician,Married,5984.254612979999,0.0,Y,19,8,0,12.0,2,11,6,9,7.381318607764167,8.585,1837.9483333333333,1.5422361777700002,10,3.0,2.0,2.0,2,3
41,36,No,Travel_Frequently,Research & Development,4.970968,3,Other,1,Female,3,Sales Executive,Married,8083.50419394,4.0,Y,12,8,2,4.0,2,1,0,0,7.0600591253902785,7.938611111111111,1757.9547222222222,1.0511205227077778,5,3.0,,3.0,2,3
42,51,No,Travel_Rarely,Research & Development,1.242742,3,Life Sciences,1,Male,2,Laboratory Technician,Divorced,6589.18217475,5.0,Y,13,8,0,13.0,2,4,1,2,7.167754350736112,8.278333333333334,1784.7708333333333,1.7779025066175,14,4.0,2.0,3.0,2,3
43,41,No,Travel_Rarely,Research & Development,18.019759,1,Life Sciences,1,Male,1,Laboratory Technician,Single,2762.23161123,1.0,Y,12,8,0,22.0,6,22,0,4,6.757186523873056,7.960833333333333,1682.5394444444444,1.1934140067791668,7,4.0,2.0,3.0,3,3
44,18,No,Travel_Rarely,Sales,4.349597,3,Life Sciences,1,Male,1,Research Scientist,Single,4426.072678439999,1.0,Y,15,8,0,0.0,3,0,0,0,6.755545515394723,7.976944444444444,1682.1308333333334,1.3468105882652779,9,4.0,3.0,3.0,3,3
45,28,No,Travel_Rarely,Research & Development,5.592339,3,Medical,1,Male,1,Sales Representative,Single,5396.743391759999,0.0,Y,23,8,2,9.0,2,8,0,7,7.056963409192223,8.04111111111111,1757.183888888889,1.053760011335,5,2.0,1.0,3.0,2,4
46,31,No,Travel_Rarely,Research & Development,4.970968,1,Technical Degree,1,Male,1,Manufacturing Director,Married,3408.9583903199996,4.0,Y,12,8,1,10.0,2,8,7,7,6.913614457831112,8.036111111111111,1721.49,1.3752008810397223,9,2.0,4.0,2.0,3,3
47,39,No,Travel_Rarely,Sales,3.106855,4,Marketing,1,Female,2,Human Resources,Divorced,2444.0931238499998,0.0,Y,20,8,0,19.0,3,18,3,7,7.207423025435,8.457222222222223,1794.6483333333333,1.7885318563147223,14,3.0,4.0,2.0,3,4
48,36,No,Non-Travel,Research & Development,3.106855,4,Life Sciences,1,Male,1,Sales Executive,Married,9959.82461586,7.0,Y,21,8,0,11.0,4,9,0,8,7.455297858098889,8.716666666666669,1856.3691666666666,1.7056018591919446,12,2.0,2.0,3.0,3,4
49,32,No,Travel_Rarely,Sales,1.242742,3,Marketing,1,Male,2,Laboratory Technician,Married,3141.90783522,1.0,Y,21,8,1,13.0,4,13,4,8,6.358520749665279,7.882777777777778,1583.2716666666668,2.0057077273950004,22,4.0,3.0,2.0,3,4
50,38,No,Travel_Rarely,Research & Development,3.106855,2,Life Sciences,1,Female,3,Research Scientist,Married,7412.39453808,3.0,Y,19,8,2,19.0,4,10,0,1,6.3239547077197225,7.661111111111111,1574.6647222222223,1.942971475585,21,1.0,2.0,3.0,2,3
51,58,No,Non-Travel,Research & Development,1.242742,3,Life Sciences,1,Male,2,Manufacturing Director,Divorced,4607.20262016,2.0,Y,13,8,2,12.0,3,5,1,2,10.589165551093057,12.064444444444444,2636.702222222222,1.8293303176375002,7,4.0,3.0,3.0,2,3
52,31,No,Travel_Rarely,Research & Development,12.42742,1,Technical Degree,1,Female,3,Research Scientist,Married,11502.912388589999,0.0,Y,13,8,1,6.0,3,5,0,3,8.685874609549167,9.955833333333333,2162.782777777778,1.980614995870278,12,3.0,4.0,3.0,2,3
53,31,No,Travel_Rarely,Sales,4.349597,4,Marketing,1,Male,2,Sales Executive,Married,15355.406918249999,3.0,Y,21,8,1,9.0,2,2,1,0,6.557103971441112,7.644722222222223,1632.7188888888888,1.3714841983997221,10,1.0,1.0,3.0,3,4
54,45,No,Travel_Frequently,Research & Development,1.8641130000000001,1,Medical,1,Female,1,Sales Executive,Divorced,4110.2563698,1.0,Y,13,8,0,24.0,6,24,9,11,6.934087460954722,8.190000000000001,1726.5877777777778,1.6584788228327778,13,1.0,1.0,3.0,3,3
55,31,No,Travel_Rarely,Sales,9.941936,4,Marketing,1,Female,2,Research Scientist,Divorced,3255.6945934799996,0.0,Y,19,8,2,3.0,0,2,2,2,8.43789045069139,9.470833333333333,2101.0347222222226,1.248993775116111,5,3.0,4.0,1.0,3,3
56,33,No,Travel_Frequently,Research & Development,5.592339,3,Life Sciences,1,Male,4,Research Director,Married,22515.84506304,6.0,Y,12,8,1,12.0,3,10,8,8,6.457864792503334,7.746111111111111,1608.0083333333334,1.4842264176683335,12,4.0,2.0,3.0,3,3
57,39,No,Travel_Rarely,Sales,0.621371,4,Life Sciences,1,Male,1,Sales Executive,Married,22832.82246105,1.0,Y,22,8,1,21.0,6,21,11,10,10.809616242748612,11.811111111111112,2691.5944444444444,1.4190212858808333,4,3.0,1.0,3.0,3,4
58,43,No,Travel_Frequently,Research & Development,4.349597,4,Medical,1,Male,4,Research Scientist,Single,2831.89697343,0.0,Y,15,8,0,9.0,2,8,1,7,7.007448683623334,8.505555555555556,1744.8547222222223,2.204930548218056,22,3.0,4.0,3.0,3,3
59,49,No,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,1,Male,3,Manufacturing Director,Single,8492.20765218,7.0,Y,22,8,0,25.0,2,7,0,7,9.709125390450556,10.881666666666666,2417.572222222222,1.559707032011389,6,3.0,3.0,3.0,3,4
60,52,Yes,Travel_Rarely,Research & Development,4.349597,1,Life Sciences,1,Female,2,Research Scientist,Married,5543.04065238,2.0,Y,18,8,1,11.0,2,8,7,7,7.5880365908075005,8.951666666666668,1889.421111111111,1.5850168135333336,10,3.0,2.0,2.0,3,3
61,27,No,Travel_Rarely,Research & Development,9.320565,4,Medical,1,Male,3,Research Scientist,Single,4530.57072174,1.0,Y,22,8,0,4.0,2,4,1,2,10.45810910307889,11.535277777777777,2604.0691666666667,1.5295139838086111,5,3.0,2.0,2.0,3,4
62,32,No,Travel_Rarely,Research & Development,0.621371,3,Life Sciences,1,Male,3,Research Scientist,Married,3090.81990294,1.0,Y,11,8,1,13.0,6,13,11,9,10.074638554216667,11.326666666666666,2508.585,2.084580105608611,10,3.0,2.0,3.0,4,3
63,27,No,Travel_Rarely,Research & Development,8.077823,2,Medical,1,Female,4,Research Director,Single,3316.07124072,1.0,Y,12,8,2,5.0,5,5,0,4,9.341363230700555,10.885,2325.9994444444446,2.6301465212919446,18,4.0,3.0,3.0,4,3
64,31,No,Travel_Rarely,Sales,14.912904000000001,3,Life Sciences,1,Male,2,Healthcare Representative,Divorced,1255.13760897,4.0,Y,11,8,3,13.0,4,7,1,7,6.447809013833056,7.464722222222222,1605.5044444444445,1.0561488515572222,6,4.0,4.0,3.0,4,3
65,32,No,Travel_Rarely,Research & Development,4.349597,3,Technical Degree,1,Male,2,Healthcare Representative,Single,2870.2129226399998,7.0,Y,13,8,0,10.0,2,7,0,7,7.136569611780278,8.257777777777779,1777.0058333333334,1.632646596126389,12,1.0,4.0,2.0,3,3
66,28,Yes,Travel_Rarely,Research & Development,5.592339,4,Medical,1,Male,1,Sales Executive,Married,6586.859996009999,5.0,Y,14,8,1,5.0,4,3,2,2,10.641073181615278,11.38861111111111,2649.6272222222224,0.9972177371450001,2,1.0,4.0,2.0,2,3
67,30,No,Travel_Rarely,Research & Development,8.077823,3,Life Sciences,1,Female,4,Research Director,Married,4873.09208589,1.0,Y,13,8,0,11.0,3,10,1,9,5.762560240963611,6.918055555555555,1434.8775,1.5898679153130557,17,4.0,4.0,3.0,3,3
68,31,No,Travel_Frequently,Research & Development,1.242742,1,Life Sciences,1,Female,1,Manager,Married,11277.66105081,1.0,Y,17,8,0,10.0,5,10,8,9,6.025345827755277,7.3075,1500.3111111111111,1.8983155268352778,22,3.0,3.0,3.0,2,3
69,39,No,Travel_Frequently,Research & Development,11.806049,4,Medical,1,Female,1,Research Scientist,Married,2394.16628094,1.0,Y,13,8,0,21.0,4,21,13,3,5.5637918340025,6.844444444444444,1385.3841666666667,1.7130976514080556,21,3.0,4.0,3.0,3,3
70,39,Yes,Travel_Rarely,Research & Development,0.621371,1,Medical,1,Female,1,Laboratory Technician,Married,4974.106861079999,4.0,Y,17,8,1,12.0,0,1,0,0,9.851604194555833,10.715833333333334,2453.0494444444444,1.1264440886194445,3,4.0,3.0,2.0,3,3
71,33,No,Travel_Frequently,Sales,2.485484,2,Life Sciences,1,Male,4,Research Scientist,Single,5559.29590356,3.0,Y,11,8,1,9.0,0,7,0,1,7.212816822846667,8.068888888888889,1795.9913888888889,1.2623923349666668,7,2.0,4.0,2.0,3,3
72,47,No,Travel_Rarely,Research & Development,2.485484,3,Life Sciences,1,Female,2,Healthcare Representative,Married,6857.39381922,4.0,Y,23,8,0,21.0,4,3,1,1,6.337332663989167,7.1925,1577.9958333333334,1.0367111527922221,6,4.0,3.0,3.0,4,4
73,43,No,Travel_Frequently,Research & Development,8.699194,3,Medical,1,Female,5,Research Director,Divorced,4511.993291819999,1.0,Y,17,8,2,9.0,2,9,0,0,5.945283355644723,7.146388888888889,1480.3755555555556,1.4800789535822223,14,3.0,3.0,4.0,3,3
74,27,No,Non-Travel,Research & Development,1.242742,3,Life Sciences,1,Male,1,Research Director,Married,19533.00647151,0.0,Y,17,8,0,6.0,3,5,1,4,8.643457161981113,10.124166666666667,2152.2208333333338,2.433865114255278,18,3.0,2.0,3.0,3,3
75,54,No,Travel_Frequently,Research & Development,0.621371,4,Life Sciences,1,Male,2,Research Scientist,Single,3405.47512221,3.0,Y,12,8,2,20.0,2,4,0,3,5.681542838018611,6.885277777777778,1414.7041666666667,1.5659212601197223,17,4.0,3.0,2.0,3,3
76,43,No,Travel_Rarely,Research & Development,4.349597,2,Life Sciences,1,Female,2,Manager,Married,7547.080905,8.0,Y,23,8,0,10.0,3,1,0,0,6.898489513609722,7.853888888888889,1717.723888888889,1.512125398686389,11,3.0,1.0,2.0,3,4
77,45,No,Travel_Rarely,Sales,1.8641130000000001,1,Marketing,1,Female,1,Sales Executive,Married,19940.548840379997,9.0,Y,14,8,1,12.0,6,10,9,8,6.900469656403334,7.894166666666667,1718.2169444444444,1.2130760938577778,7,4.0,4.0,3.0,3,3
78,40,No,Travel_Rarely,Research & Development,1.242742,4,Other,1,Male,4,Research Scientist,Married,5843.76279921,2.0,Y,14,8,2,6.0,6,4,0,2,9.197425256581669,10.701666666666666,2290.158888888889,2.5885773794722224,18,2.0,4.0,2.0,3,3
79,29,Yes,Travel_Rarely,Research & Development,18.019759,3,Medical,1,Female,1,Research Scientist,Married,2678.63317659,1.0,Y,13,8,1,7.0,0,7,0,7,9.67827867023639,11.379444444444445,2409.8913888888887,2.8023107060083334,19,2.0,1.0,2.0,3,3
80,29,No,Travel_Rarely,Human Resources,4.970968,3,Medical,1,Male,3,Sales Representative,Single,3003.73820019,0.0,Y,22,8,2,4.0,3,3,2,2,6.6295515394911115,7.652222222222222,1650.7583333333334,1.3891109368858334,10,2.0,4.0,3.0,3,4
81,30,No,Travel_Rarely,Research & Development,6.21371,3,Life Sciences,1,Male,2,Research Scientist,Divorced,6394.119160589999,1.0,Y,12,8,2,10.0,2,10,1,2,7.070961624274722,8.45638888888889,1760.6694444444445,1.9401532323833335,17,4.0,3.0,3.0,2,3
82,27,No,Travel_Rarely,Research & Development,6.835081,2,Medical,1,Male,1,Manager,Married,5100.665602409999,1.0,Y,18,8,1,8.0,2,8,0,7,5.957641677822223,6.754166666666666,1483.4527777777778,0.9028559444075,5,2.0,2.0,3.0,2,3
83,37,No,Travel_Rarely,Sales,0.621371,4,Life Sciences,1,Male,2,Healthcare Representative,Divorced,15498.220910760001,7.0,Y,14,8,0,8.0,4,6,0,4,5.687801204819167,6.816944444444444,1416.2625,1.3664850524175003,13,4.0,4.0,2.0,3,3
84,38,No,Travel_Rarely,Research & Development,17.398388,4,Medical,1,Male,1,Laboratory Technician,Divorced,7643.45132271,0.0,Y,12,8,0,12.0,1,11,2,9,8.730585676037224,9.831666666666667,2173.9158333333335,1.5176058267916668,7,3.0,4.0,3.0,3,3
85,31,No,Travel_Rarely,Research & Development,3.7282260000000003,3,Medical,1,Female,3,Manager,Single,9408.30716511,1.0,Y,15,8,1,11.0,5,11,4,10,9.965590138330835,11.390833333333333,2481.4319444444445,2.168481280567778,11,3.0,4.0,,3,3
86,29,No,Travel_Rarely,Research & Development,1.8641130000000001,4,Life Sciences,1,Male,3,Sales Executive,Divorced,4618.81351386,1.0,Y,11,8,0,7.0,0,7,1,7,8.219101963409168,9.117777777777778,2046.556388888889,1.209463653043889,5,4.0,2.0,3.0,3,3
87,35,No,Travel_Rarely,Sales,9.941936,2,Technical Degree,1,Male,3,Manager,Single,2953.81135728,0.0,Y,13,8,1,17.0,3,16,0,13,7.403634538152501,8.656111111111112,1843.505,1.96436126748,16,3.0,2.0,3.0,4,3
88,23,No,Travel_Rarely,Research & Development,12.42742,4,Life Sciences,1,Male,1,Manufacturing Director,Divorced,6268.72150863,1.0,Y,23,8,0,4.0,2,4,0,2,6.762868139223333,8.055277777777778,1683.9541666666667,1.5511317814158334,12,3.0,4.0,2.0,2,4
89,41,No,Travel_Rarely,Research & Development,5.592339,2,Life Sciences,1,Female,1,Laboratory Technician,Single,6370.8973731900005,6.0,Y,19,8,2,8.0,0,5,1,2,9.299531459170002,10.613888888888889,2315.5833333333335,1.9265940513194446,10,4.0,2.0,3.0,3,3
90,47,No,Travel_Frequently,Sales,0.621371,3,Medical,1,Female,2,Laboratory Technician,Single,7934.884754579999,3.0,Y,16,8,1,5.0,2,0,0,0,7.4582853636766675,8.595555555555556,1857.1130555555555,1.5569102781436113,10,2.0,3.0,3.0,4,3
91,42,No,Travel_Rarely,Research & Development,1.8641130000000001,4,Life Sciences,1,Male,1,Manager,Single,1266.7485026699999,2.0,Y,22,8,0,16.0,0,1,0,0,5.981423471664167,7.108333333333333,1489.3744444444444,1.379419154538889,12,1.0,4.0,3.0,1,4
92,29,No,Non-Travel,Sales,13.670162,4,Marketing,1,Male,2,Human Resources,Married,6660.00862632,1.0,Y,22,8,0,4.0,1,4,0,2,5.900896921017223,7.287222222222222,1469.3233333333333,1.5790603736997224,16,4.0,3.0,2.0,2,4
93,42,No,Travel_Rarely,Sales,4.349597,4,Medical,1,Male,3,Research Scientist,Divorced,2584.58493762,0.0,Y,12,8,1,4.0,3,3,1,0,8.086752565818612,9.709722222222222,2013.6013888888888,2.477168874257778,21,3.0,3.0,3.0,2,3
94,32,No,Travel_Rarely,Research & Development,1.242742,3,Medical,1,Male,2,Research Scientist,Married,6672.78060939,1.0,Y,13,8,0,8.0,0,8,0,7,7.164133199464445,8.662222222222223,1783.8691666666666,2.025088737416111,18,3.0,2.0,3.0,3,3
95,48,No,Travel_Rarely,Sales,8.077823,4,Medical,1,Male,4,Sales Executive,Married,11441.37465198,3.0,Y,16,8,1,15.0,2,0,0,0,6.847280232039167,8.02138888888889,1704.9727777777778,1.8169926783905557,16,1.0,3.0,1.0,2,3
96,37,No,Travel_Rarely,Research & Development,4.970968,5,Technical Degree,1,Male,2,Manufacturing Director,Divorced,6347.67558579,4.0,Y,12,8,0,13.0,2,7,6,7,10.711529451137778,11.62111111111111,2667.170833333333,1.0096899572083333,2,3.0,1.0,3.0,3,3
97,30,No,Non-Travel,Sales,15.534275000000001,4,Other,1,Male,1,Healthcare Representative,Married,6246.6608106,7.0,Y,21,8,1,4.0,0,2,2,2,10.234273761713334,11.192777777777778,2548.3341666666665,1.3446582615061111,4,4.0,3.0,4.0,3,4
98,26,No,Travel_Rarely,Sales,17.398388,3,Medical,1,Female,5,Laboratory Technician,Married,5980.77134487,1.0,Y,15,8,3,8.0,3,8,7,7,5.849885095939167,6.900555555555556,1456.621388888889,0.9686090065805556,6,3.0,3.0,3.0,3,3
99,42,No,Travel_Rarely,Sales,1.242742,2,Medical,1,Female,1,Laboratory Technician,Single,2476.6036262099997,3.0,Y,13,8,2,14.0,2,1,0,0,5.86760374832639,7.074166666666667,1461.0333333333333,1.2432653301930556,10,1.0,4.0,3.0,3,3
100,21,Yes,Travel_Frequently,Research & Development,5.592339,3,Medical,1,Female,4,Manufacturing Director,Single,20754.472488749998,1.0,Y,12,8,0,3.0,5,3,1,2,7.970253235162779,9.090833333333334,1984.5930555555556,1.1806757813616668,5,1.0,2.0,3.0,2,3
101,36,No,Non-Travel,Human Resources,17.398388,3,Human Resources,1,Male,2,Laboratory Technician,Single,2823.76934784,4.0,Y,22,8,0,7.0,4,1,0,0,6.807350513163612,8.243055555555557,1695.0302777777779,1.8725159901461113,17,4.0,4.0,3.0,1,4
